index,record_id,building_id,timestamp,season,subject_id,age,gender,ht,wt,ta,ta_h,ta_m,ta_l,top,tr,tg,tg_h,tg_m,tg_l,rh,vel,vel_h,vel_m,vel_l,met,clo,activity_10,activity_20,activity_30,activity_60,thermal_sensation,thermal_acceptability,thermal_preference,thermal_comfort,air_movement_acceptability,air_movement_preference,blind_curtain,fan,window,door,heater,rh_out,t_out_monthly,rh_out_isd,set,pmv,ppd,pmv_ce,ppd_ce,t_mot_isd,city,building_type,cooling_type,records,database,t_out_combined,country
45986,45987,363,2020-11-01T00:00:00Z,winter,,35.0,male,,,26.5,,26.5,,25.57,24.64,25.1,,25.1,,48.6,0.04,,0.04,,1.4,0.47,1.4,1.4,1.4,1.4,1.0,acceptable,no change,5.0,acceptable,no change,,0.0,0.0,,0.0,,18.3,48.99227226108194,25.0,0.32,7.2,0.33,7.3,22.4,delhi,multifamily housing,mixed mode,13,2.1,21.476388888888888,india
45987,45988,363,2020-12-06T00:00:00Z,winter,,55.0,female,,,20.4,,20.4,,20.78,21.15,21.0,,21.0,,67.8,0.02,,0.02,,1.0,0.95,1.0,1.0,1.0,1.0,-1.0,acceptable,warmer,5.0,acceptable,no change,,0.0,0.0,,0.0,,14.23,69.88045190639511,23.1,-0.65,13.7,-0.65,13.7,17.6,delhi,multifamily housing,mixed mode,13,2.1,19.60833333333333,india
45988,45989,363,2020-12-06T00:00:00Z,winter,,55.0,male,,,20.3,,20.3,,20.62,20.93,20.8,,20.8,,67.9,0.02,,0.02,,1.0,1.19,1.0,1.0,1.0,1.0,-2.0,acceptable,no change,5.0,acceptable,no change,,0.0,0.0,,0.0,,14.23,69.88045190639511,24.7,-0.26,6.4,-0.26,6.4,17.6,delhi,multifamily housing,mixed mode,13,2.1,19.60833333333333,india
45989,45990,363,2020-12-06T00:00:00Z,winter,,25.0,female,,,20.2,,20.2,,20.62,21.03,20.9,,20.9,,68.2,0.01,,0.01,,1.0,1.11,1.0,1.0,1.0,1.0,-1.0,unacceptable,warmer,2.0,unacceptable,less,,0.0,0.0,,0.0,,14.23,69.88045190639511,24.1,-0.4,8.3,-0.4,8.3,17.6,delhi,multifamily housing,mixed mode,13,2.1,19.60833333333333,india
45990,45991,363,2020-12-06T00:00:00Z,winter,,35.0,male,,,19.8,,19.8,,19.43,18.88,19.3,,19.3,,67.6,0.16,,0.16,,1.8,0.88,1.8,1.8,1.8,1.8,1.0,unacceptable,cooler,3.0,unacceptable,more,,0.0,0.0,,1.0,,14.23,69.88045190639511,25.2,-0.2,5.8,-0.37,7.8,17.6,delhi,multifamily housing,mixed mode,13,2.1,19.60833333333333,india
45991,45992,364,2020-03-14T00:00:00Z,winter,,35.0,female,,,23.6,,23.6,,23.7,23.85,23.8,,23.8,,61.4,0.02,,0.02,,2.1,0.92,2.1,2.1,2.1,2.1,-1.0,acceptable,no change,5.0,acceptable,no change,,0.0,0.0,,0.0,,23.26,83.51456056068659,30.5,0.97,25.0,0.65,14.0,20.2,delhi,multifamily housing,mixed mode,2,2.1,19.094444444444445,india
45992,45993,364,2020-03-14T00:00:00Z,winter,,25.0,male,,,23.4,,23.4,,23.52,23.65,23.6,,23.6,,65.7,0.02,,0.02,,1.0,0.89,1.0,1.0,1.0,1.0,1.0,acceptable,cooler,4.0,acceptable,no change,,0.0,0.0,,0.0,,23.26,83.51456056068659,25.6,0.06,5.1,0.06,5.1,20.2,delhi,multifamily housing,mixed mode,2,2.1,19.094444444444445,india
45993,45994,365,2020-03-14T00:00:00Z,winter,,25.0,female,,,23.7,,23.7,,23.61,23.53,23.6,,23.6,,71.4,0.14,,0.14,,1.1,0.47,1.0,1.0,1.2,1.2,-1.0,acceptable,no change,4.0,unacceptable,more,,0.0,0.0,,0.0,,23.26,83.51456056068659,22.8,-0.77,17.4,-0.64,13.6,20.2,delhi,multifamily housing,mixed mode,14,2.1,19.094444444444445,india
45994,45995,365,2020-03-14T00:00:00Z,winter,,25.0,male,,,24.6,,24.6,,23.92,23.25,23.8,,23.8,,69.9,0.13,,0.13,,1.05,0.35,1.0,1.0,1.0,1.2,-1.0,acceptable,no change,4.0,unacceptable,more,,0.0,0.0,,0.0,,23.26,83.51456056068659,22.0,-1.07,29.1,-0.9,21.9,20.2,delhi,multifamily housing,mixed mode,14,2.1,19.094444444444445,india
45995,45996,365,2020-03-14T00:00:00Z,winter,,35.0,male,,,23.3,,23.3,,24.27,25.71,24.6,,24.6,,73.1,0.18,,0.18,,1.7,0.81,1.4,1.8,1.8,1.8,1.0,acceptable,cooler,5.0,acceptable,no change,,0.0,0.0,,0.0,,23.26,83.51456056068659,28.9,0.6,12.6,0.33,7.3,20.2,delhi,multifamily housing,mixed mode,14,2.1,19.094444444444445,india
